transportador_codigo;tabela_nome;validade_inicio;validade_fim;cidade_ibge;prazo_adicional
001;KAMER - ;01/03/2022;31/12/2099;2901304;0
001;KAMER - ;01/03/2022;31/12/2099;2901205;0
001;KAMER - ;01/03/2022;31/12/2099;2901155;0
001;KAMER - ;01/03/2022;31/12/2099;2901106;0
001;KAMER - ;01/03/2022;31/12/2099;2901007;0
001;KAMER - ;01/03/2022;31/12/2099;2900900;0
001;KAMER - ;01/03/2022;31/12/2099;2900801;0
001;KAMER - ;01/03/2022;31/12/2099;2900702;0
001;KAMER - ;01/03/2022;31/12/2099;2900603;0
001;KAMER - ;01/03/2022;31/12/2099;2900405;0
001;KAMER - ;01/03/2022;31/12/2099;2900355;0
001;KAMER - ;01/03/2022;31/12/2099;2900306;0
001;KAMER - ;01/03/2022;31/12/2099;2900207;0
001;KAMER - ;01/03/2022;31/12/2099;2900108;0
001;KAMER - BA 2;01/03/2022;31/12/2099;2919553;14
001;KAMER - BA 2;01/03/2022;31/12/2099;2903201;14
001;KAMER - BA 1;01/03/2022;31/12/2099;2927408;9
001;KAMER - BA;01/03/2022;31/12/2099;1200203;11
001;KAMER - AC 2;01/03/2022;31/12/2099;1200708;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200609;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200450;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200500;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200435;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200427;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200393;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200807;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200385;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200351;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200344;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200336;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200328;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200302;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200252;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200179;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200138;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200104;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200054;17
001;KAMER - AC 2;01/03/2022;31/12/2099;1200013;17
001;KAMER - AC 1;01/03/2022;31/12/2099;1200401;16
001;KAMER - AC;01/03/2022;31/12/2099;2906105;13
001;KAMER - AC;01/03/2022;31/12/2099;2906006;13
001;KAMER - AC;01/03/2022;31/12/2099;2905909;13
001;KAMER - AC;01/03/2022;31/12/2099;2905800;13
001;KAMER - AC;01/03/2022;31/12/2099;2905701;13
001;KAMER - AC;01/03/2022;31/12/2099;2905602;13
001;KAMER - AC;01/03/2022;31/12/2099;2905503;13
001;KAMER - AC;01/03/2022;31/12/2099;2905404;13
001;KAMER - AC;01/03/2022;31/12/2099;2905305;13
001;KAMER - AC;01/03/2022;31/12/2099;2905206;13
001;KAMER - AC;01/03/2022;31/12/2099;2905156;13
001;KAMER - AC;01/03/2022;31/12/2099;2905107;13
001;KAMER - AC;01/03/2022;31/12/2099;2905008;13
001;KAMER - AC;01/03/2022;31/12/2099;2904902;13
001;KAMER - AC;01/03/2022;31/12/2099;2904852;13
001;KAMER - AC;01/03/2022;31/12/2099;2904803;13
001;KAMER - AC;01/03/2022;31/12/2099;2904753;13
001;KAMER - AC;01/03/2022;31/12/2099;2904704;13
001;KAMER - AC;01/03/2022;31/12/2099;2904605;13
001;KAMER - AC;01/03/2022;31/12/2099;2904506;13
001;KAMER - AC;01/03/2022;31/12/2099;2904407;13
001;KAMER - AC;01/03/2022;31/12/2099;2904308;13
001;KAMER - AC;01/03/2022;31/12/2099;2904209;13
001;KAMER - AC;01/03/2022;31/12/2099;2904100;13
001;KAMER - AC;01/03/2022;31/12/2099;2904050;13
001;KAMER - AC;01/03/2022;31/12/2099;2904001;13
001;KAMER - AC;01/03/2022;31/12/2099;2903953;13
001;KAMER - AC;01/03/2022;31/12/2099;2903904;13
001;KAMER - AC;01/03/2022;31/12/2099;2903805;13
001;KAMER - AC;01/03/2022;31/12/2099;2903706;13
001;KAMER - AC;01/03/2022;31/12/2099;2903607;13
001;KAMER - AC;01/03/2022;31/12/2099;2903508;13
001;KAMER - AC;01/03/2022;31/12/2099;2903409;13
001;KAMER - AC;01/03/2022;31/12/2099;2903276;13
001;KAMER - AC;01/03/2022;31/12/2099;2903300;13
001;KAMER - AC;01/03/2022;31/12/2099;2903235;13
001;KAMER - AC;01/03/2022;31/12/2099;2903102;13
001;KAMER - AC;01/03/2022;31/12/2099;2903003;13
001;KAMER - AC;01/03/2022;31/12/2099;2902906;13
001;KAMER - AC;01/03/2022;31/12/2099;2902807;13
001;KAMER - AC;01/03/2022;31/12/2099;2902708;13
001;KAMER - AC;01/03/2022;31/12/2099;2902658;13
001;KAMER - AC;01/03/2022;31/12/2099;2902609;13
001;KAMER - AC;01/03/2022;31/12/2099;2902500;13
001;KAMER - AC;01/03/2022;31/12/2099;2902401;13
001;KAMER - AC;01/03/2022;31/12/2099;2902302;13
001;KAMER - AC;01/03/2022;31/12/2099;2902252;13
001;KAMER - AC;01/03/2022;31/12/2099;2902203;13
001;KAMER - AC;01/03/2022;31/12/2099;2902104;13
001;KAMER - AC;01/03/2022;31/12/2099;2902005;13
001;KAMER - AC;01/03/2022;31/12/2099;2902054;13
001;KAMER - AC;01/03/2022;31/12/2099;2901957;13
