transportador_codigo,tabela_nome,validade_inicio,validade_fim,tarifa_codigo,cidade_ibge,prazo_entrega_dias
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2901304,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2901205,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2901155,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2901106,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2901007,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900900,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900801,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900702,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900603,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900405,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900355,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900306,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900207,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,SEM_MAPEAMENTO_,2900108,0
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0006,2919553,14
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0006,2903201,14
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0005,2927408,9
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0004,1200203,11
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200708,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200609,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200450,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200500,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200435,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200427,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200393,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200807,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200385,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200351,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200344,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200336,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200328,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200302,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200252,17
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0003,1200179,17
